isim_iskele;isim_hat;turu_iskele;globalid;shape
Beykoz ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{CBC08B8E-3382-43A3-9A7B-80E1EE258F7D};POINT (29.0903133275983 41.1343110131553)
Sirkeci Feribot;Sirkeci-Harem;IDO Feribot;{F1FE3E94-B452-49CB-9DB6-0801E30D2FBB};POINT (28.9768197576655 41.0167315370206)
Çubuklu ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{D0063027-0113-4501-8F3F-9D18F8266181};POINT (29.0804399779341 41.1074643693258)
Avcýlar ÝDO;Avcýlar-Bakýrköy;IDO Deniz Otobus;{E6901FDF-41C5-4F1B-8AEB-EFB9F553C510};POINT (28.7179090780082 40.9710725275078)
Rumeli Kavaðý ÞH.;Sarýyer-Rumeli Kavaðý-Anadolu Kavaðý;IDO Þehir Hatlarý;{4803499A-B4DB-48B5-91AD-0194A97543D6};POINT (29.0751996678947 41.1816276650096)
Küçüksu ÞH.;Küçüksu-Beþiktaþ;IDO Þehir Hatlarý;{CF95EB18-55B2-434F-B589-418D43E7D05C};POINT (29.0651156614268 41.0791765129044)
Anadolu Kavaðý ÞH.;Sarýyer-Rumeli Kavaðý-Anadolu Kavaðý;IDO Þehir Hatlarý;{6CB391D1-F258-4B91-B064-52C32B258C65};POINT (29.0879039342982 41.1733962294432)
Kadýköy ÝDO;Bostancý-Kadýköy-Yenikapý-Bakýrköy-Sarýyer-Beykoz-Ýstinye-Beþiktaþ-Kabataþ;IDO Deniz Otobus;{6AA47581-1DE9-4BEE-A685-391BD5C4DFD9};POINT (29.0185878590946 40.9909955461526)
Beþiktaþ-Üsküdar ÞH.;Üsküdar-Beþiktaþ;IDO Þehir Hatlarý;{F05CC7D0-950A-46ED-BC87-203F41597C83};POINT (29.0073618373636 41.0410405036449)
Ýstinye ÝDO;Sarýyer-Beykoz-Ýstinye-Beþiktaþ-Kabataþ-Kadýköy;IDO Deniz Otobus;{8DF18101-0E3A-4863-96B1-6FD26AB708FB};POINT (29.0604822463044 41.113510080215)
Hasköy ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{53B22F5F-7288-48F3-94DC-EF5A9063B8AA};POINT (28.9490991610848 41.040583414696)
Eminönü-Üsküdar ÞH.;Eminönü-Üsküdar;IDO Þehir Hatlarý;{06B94E7C-391A-4BDA-9CFF-C6EEEC8C547E};POINT (28.9762631592989 41.0171141458797)
Yeni Kadýköy ÞH.;Karaköy-Haydarpaþa-Kadýköy / Kadýköy-Eminönü / Kadýköy-Kabataþ;IDO Þehir Hatlarý;{C14BC839-B708-4A2E-ADF7-21158CC1CA15};POINT (29.0227098868849 40.9929933768951)
Kuzguncuk ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{8BBF9F8A-782C-4237-80B0-C6FE60A3D07E};POINT (29.0297691641306 41.0369024427848)
Paþabahçe ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{94B0769C-026D-426A-B658-3EC66DCBB962};POINT (29.093198913167 41.1168170619071)
Kasýmpaþa ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{BCB9657E-0562-4330-AA09-95F128FB71BE};POINT (28.9661732233785 41.0303755455709)
Balat ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{A2AD10F1-CB0C-48B3-9C22-5C354D73191B};POINT (28.9493324695503 41.0348382576887)
Çubuklu ÞH. (Arabalý Vapur);Ýstinye - Çubuklu Arabalý Vapur Hattý;IDO Þehir Hatlarý;{C8ADD80C-1789-4F4D-8305-B2021F6EE0A0};POINT (29.0825008833801 41.108529054266)
Eminönü Dentur;Eminönü - Bebek;Özel Motor;{13FA79A0-27FB-4DBC-B247-45BA33A69646};POINT (28.9740817119005 41.0179947208576)
Ýstinye ÞH. (Arabalý Vapur);Ýstinye - Çubuklu Arabalý Vapur Hattý;IDO Þehir Hatlarý;{D2C1BA16-E6B1-4913-9DAA-59AF5FBBDB9E};POINT (29.0573095161992 41.113481695621)
Eminönü Camlý Ýskele ÞH.;Kadýköy-Eminönü;IDO Þehir Hatlarý;{BB14DA05-3235-4A25-B6CF-7250197A2AC2};POINT (28.9731077113377 41.0182684959651)
Büyükada Turyol;Adalar;Özel Motor;{9A76BB27-3A66-43AF-A00F-044BA20807E9};POINT (29.1312874375294 40.8748780016758)
Bakýrköy Turyol;Bakýrköy-Kadýköy--Eminönü-Bakýrköy;Özel Motor;{6683D759-7A86-4F53-BFB3-E12F4D98B63F};POINT (28.8781017717681 40.9730774106038)
Büyükçekmece Turyol;Büyükçekmece;Özel Motor;{73300B93-510B-41F5-8701-AC0FB7015D2C};POINT (28.5633034448245 41.015386193409)
Beþiktaþ Turyol;Beþiktaþ;Özel Motor;{2A2D62A1-E8C9-4761-BA58-BD9AF23FE474};POINT (29.0087290141675 41.0411807067374)
Sarýyer ÞH.;Sarýyer-Rumeli Kavaðý-Anadolu Kavaðý;IDO Þehir Hatlarý;{0D7F6806-0DDC-4627-9F2A-5CE35555CC60};POINT (29.0575846541708 41.1662693861718)
Karaköy Turyol;Üsküdar-Haydarpaþa-Kadýköy2(Çayýrbaþý)-Eminönü;Özel Motor;{1D861B38-B8BF-4A5E-933C-8EE67BC89D01};POINT (28.9732871666207 41.021748402207)
Bakýrköy  ÝDO;Bostancý-Kadýköy-Yenikapý-Bakýrköy;IDO Deniz Otobus;{62EA63B6-DA90-4D56-95E4-63A2FD808B66};POINT (28.8781017717681 40.9730774106038)
Kandilli ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{8F1AFC95-DB8C-4BBD-9EB2-1CAA17CC8B7C};POINT (29.0582283911513 41.0745622717617)
Kabataþ Dentur;Kabataþ-Üsküdar;Özel Motor;{D332B35C-7F39-45DC-B597-EE5088E9CC91};POINT (28.9942138134186 41.035470626335)
Ortaköy ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{694EFD0F-7FBC-4DE5-AE55-6C2366E184BE};POINT (29.0256855144551 41.0471764100195)
Kýnalýada ÞH.;Kabataþ-Kadýköy-Adalar / Bostancý-Adalar;IDO Þehir Hatlarý;{833F360C-3D0B-491E-A889-0A06B6629A39};POINT (29.0555378642424 40.9105737677384)
Burgazada ÞH.;Kabataþ-Kadýköy-Adalar;IDO Þehir Hatlarý;{02C9785A-1AE0-482F-A0FD-B87225FC538B};POINT (29.0706015671057 40.8811465680106)
Eminönü-Haliç ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{2951FA8E-7341-448D-9890-D1A15CE63589};POINT (28.9688757506819 41.0194989142109)
Eminönü-Boðaz ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{F3AA222D-211E-4F63-B758-9D647CA8BE22};POINT (28.9740817119005 41.0179947208576)
Yeniköy ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{D39C070A-A6DA-40D4-95B4-92081C907ACC};POINT (29.0710605060644 41.1216401927574)
Ýstinye ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{12899DBC-15A7-4249-8149-EE184096BB09};POINT (29.0613132273843 41.1132669129929)
Haydarpaþa ÞH.;Karaköy-Haydarpaþa-Kadýköy;IDO Þehir Hatlarý;{DBB842AB-7E62-411C-B444-44C7436D40FF};POINT (29.0178289666261 40.9961785391853)
Eyüp ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{C0F93932-0DEF-4E57-BB07-D3FCE2C8879E};POINT (28.9378306667138 41.0473149622357)
Karaköy ÞH.;Karaköy-Haydarpaþa-Kadýköy / Haliç Hattý;IDO Þehir Hatlarý;{D57990B9-E672-4EB8-AB9C-989A54684F5A};POINT (28.9765707068979 41.0217608028593)
Sütlüce ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{67139BCC-BF8E-4720-931C-E05AC0A823EE};POINT (28.940683599652 41.0466380288752)
Ayvansaray ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{4D66A909-CEAA-469B-9B4F-0C032832F901};POINT (28.9448160080441 41.0408057805475)
Fener ÞH.;Haliç Hattý;IDO Þehir Hatlarý;{ED394749-BC9D-49E1-93F2-8C398A5AB79C};POINT (28.9526642159711 41.0309808494826)
Bostancý ÝDO;Bostancý-Adalar;IDO Deniz Otobus;{B118EE78-C859-4E59-96AE-977F99B8F944};POINT (29.0929132163991 40.9523023696638)
Heybeliada ÝDO;Bostancý-Adalar;IDO Deniz Otobus;{48238E4C-7D71-491F-9E41-7D1F0AB95EA0};POINT (29.1008793572838 40.8778261315365)
Anadolu Hisarý ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{735B9DE9-51A9-417F-BF19-1E8A4C0C9B33};POINT (29.0665429955074 41.0832877787348)
Arnavutköy ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{CC6E6350-598D-4FEF-B7AD-E20B29FCD04F};POINT (29.0434343511926 41.066777878158)
Beykoz ÝDO;Sarýyer-Beykoz-Ýstinye-Beþiktaþ-Kabataþ-Kadýköy;IDO Deniz Otobus;{23CF9E5D-A700-4153-94BE-9FAE4428E441};POINT (29.090188827469 41.1343416366881)
Kabataþ ÝDO;Bostancý-Kabataþ;IDO Deniz Otobus;{5E752B99-3EBE-457E-A5DA-229B8B396A70};POINT (28.9929017615258 41.0332189953136)
Harem Feribot;Sirkeci-Harem;IDO Feribot;{45A09E77-0F19-4905-B7D8-094299B8B6EE};POINT (29.0100612094 41.0109723694202)
Yenikapý ÝDO;Bostancý-Kadýköy-Yenikapý-Bakýrköy;IDO Deniz Otobus;{E5D7E3C9-CDF0-4E2B-BAA9-430E337B3FCB};POINT (28.9564284604769 41.0019575322018)
Üsküdar ÞH.;Eminönü-Üsküdar / Haliç Hattý / Üsküdar-Beþiktaþ;IDO Þehir Hatlarý;{4FFD3A6E-4FCE-4EAC-8E01-53AB8756305C};POINT (29.0149659917712 41.0277715044944)
Kanlýca ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{34041138-7B71-4143-A275-DCD77EF38CF6};POINT (29.0652582173725 41.10030965864)
Emirgan ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{27382D04-B40E-40C0-9E7A-029766B6D0A7};POINT (29.0561305501776 41.1030605822108)
Beylerbeyi ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{D26E066E-90DC-4BF8-9D88-3CFC813B8E8A};POINT (29.0445421884284 41.0450375252611)
Bostancý ÞH.;Bostancý-Adalar;IDO Þehir Hatlarý;{9BDF0E98-E3C7-48B0-BAD7-78FAB7AFE29A};POINT (29.0940577937453 40.9514859148814)
Sarýyer ÝDO;Sarýyer-Rumeli Kavaðý-Anadolu Kavaðý;IDO Deniz Otobus;{3D72C4AE-04B3-406D-B73E-612111B8EFE2};POINT (29.0577665374627 41.1671487288792)
Bebek ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{EC86B036-B69B-41F5-930F-C847FD733F90};POINT (29.04455074485 41.0763200601424)
Beþiktaþ ÝDO;Sarýyer-Beykoz-Ýstinye-Beþiktaþ-Kabataþ-Kadýköy;IDO Deniz Otobus;{A92D595F-4C6E-43BD-BDF8-4696787EB238};POINT (29.0101486811632 41.0413447919042)
Beþiktaþ-Kadýköy ÞH.;Kadýköy-Beþiktaþ;IDO Þehir Hatlarý;{168259C5-D559-49AC-8BEF-5FFAA79C818D};POINT (29.0056554003696 41.039952741991)
Çengelköy ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{96212157-D3B7-40FE-A8E8-9DDE289AF324};POINT (29.0514175572131 41.0510321832829)
Sedef Adasý ÞH.;Bostancý-Sedef Adasý;IDO Þehir Hatlarý;{6FBF0C31-BA3A-4725-A02C-CDDFF0652F4F};POINT (29.1443502762075 40.8538227160652)
Kadýköy Turyol;Haydarpaþa-Kadýköy;Özel Motor;{8C6D5A81-FF5F-4C7E-B5BF-843A9E19581A};POINT (29.02045183571 40.99134237825)
Kadýköy-Beþiktaþ ÞH.;Kadýköy-Beþiktaþ;IDO Þehir Hatlarý;{BE92579C-90A7-4D06-8AFC-B85B1BF26E44};POINT (29.0216222907795 40.9916827393621)
Heybeliada ÞH.;Kabataþ-Kadýköy-Adalar;IDO Þehir Hatlarý;{38E09628-12B5-42F5-B660-B616FCFE5329};POINT (29.1020486584584 40.8770724198762)
Kabataþ ÞH.;Kadýköy-Kabataþ / Kabataþ-Kadýköy-Adalar;IDO Þehir Hatlarý;{25874842-FA26-427E-B2EF-606923EAF388};POINT (28.993601312465 41.0337070122782)
Beþiktaþ Dentur;Beþiktaþ-Üsküdar;Özel Motor;{689D2205-2540-48A9-BE29-64757E2292A4};POINT (29.0078976221966 41.0413435442709)
Büyükada ÞH.;Kabataþ-Kadýköy-Adalar;IDO Þehir Hatlarý;{DA4696D7-EEC6-4D8C-BF62-FF3F5BE6075B};POINT (29.1279760767551 40.8757720116918)
Eminönü-Kadýköy ÞH.;Kadýköy-Eminönü;IDO Þehir Hatlarý;{12119465-094A-41F7-8AEB-06A7A0EA8247};POINT (28.9751598562999 41.0175457022933)
Büyükdere ÞH.;Boðaz Hattý;IDO Þehir Hatlarý;{D3AD2F2A-739D-4ADE-8CAF-484B3661761A};POINT (29.046305302673 41.1607334722644)
Üsküdar Dentur;Üsküdar-Beþiktaþ;Özel Motor;{98EA47F1-FFD4-453E-9A95-486D2953FA84};POINT (29.0158679840012 41.028109131755)
Haydarpaþa Turyol;Karaköy-Eminönü-Kadýköy-Kadýköy2(Çayýrbaþý);Özel Motor;{53FC73A8-B272-4F97-BF6D-407D35572FF7};POINT (29.0185132526917 40.9956311089427)
Kadýköy2(Çayýrbaþý)Turyol;Karaköy-Eminönü;Özel Motor;{59AB64B2-C382-4D51-AA3F-63E80C331605};POINT (29.0238044407121 40.9937445653767)
Eminönü Turyol;Karaköy-Kadýköy-Üsküdar-Haydarpaþa-Kadýköy2(Çayýrbaþý);Özel Motor;{27BBB748-4BD4-414B-B43A-FC2A618337C5};POINT (28.9704218790109 41.0188235919253)
Üsküdar Turyol;Üsküdar-Eminönü-Karaköy;Özel Motor;{D0BEA341-5E25-4C3B-B034-E73424DB6288};POINT (29.0164448929376 41.0288618526986)
Kadýköy-Beþiktaþ-Adalar ÞH.;Kabataþ-Kadýköy-Adalar;IDO Þehir Hatlarý;{0481BE03-8DBB-48B5-8326-593BC60C7766};POINT (29.0217313841106 40.9917168809375)
Büyükada ÝDO;Bostancý-Adalar;IDO Deniz Otobus;{1C163A68-0C8A-4558-8A1F-3BD4325C8379};POINT (29.1256027396776 40.8743706020679)
Kýnalýada ÝDO;Bostancý-Adalar;IDO Deniz Otobus;{6F9124CC-07AE-41AB-AF4D-BF12A1F093A6};POINT (29.0557865585773 40.910385043712)
Burgazada ÝDO;Bostancý-Adalar;IDO Deniz Otobus;{9483386B-DB44-42EE-9D3F-B1D424BB4D45};POINT (29.0698691683583 40.8814737114206)
